Ano,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,Total
2017,64.7,172.4,82,"88,7","54,8","69,1","26,9","107,5","69,9",43,56,"34,5","873,7"
2016,193.5,133,3,122.5,54.5,32,30.5,12,28.4,114,57,58,838.4
2015,203.0,118,95.5,123,27,2,38,17.5,73.5,127,51.5,150.5,1026.5
2014,39.5,86.0,49.0,141.3,62.7,13.4,53.5,69,76.6,276,67.5,29.0,963.5
2013,60.3,3.0,61.0,89.5,4.0,0.0,40.8,0.0,90.0,51.0,39.5,15.0,454.1
2012,123.5,103.5,104.5,28.0,59.5,2.8,0.0,98.5,37.5,122.5,77.0,147.5,904.8
2011,185.2,33.3,59.0,57.0,22.5,18.8,14.0,15.5,0.8,97.8,193.5,14.0,711.4
2010,40.7,109.4,57.4,2.8,10.7,19.2,15.2,1.8,100.5,51.4,57.0,7.8,473.9
2009,9.0,23.0,65.5,0.0,19.2,0.2,24.0,2.5,55.0,8.5,71.5,194.5,472.9
2008,84.5,76.9,75.2,5.2,14.0,10.0,23.5,13.0,47.0,54.2,12.0,59.0,474.5
2007,43.0,155.5,114.5,84.3,9.7,0.0,3.2,5.5,137.0,112.5,45.0,38.3,708.5
2006,81.0,163.0,38.7,14.8,0.0,6.5,18.5,4.5,31.5,120.8,8.9,96.5,584.7
2005,112.0,35.5,43.0,9.5,9.0,11.5,19.5,24.0,66.5,33.3,56.0,67.7,487.5
2004,20.0,41.5,163.5,79.5,0.0,27.5,96.0,26.5,36.5,86.5,62.0,229.5,869.0
2003,46.0,84.0,36.0,28.5,31.0,1.5,7.0,29.0,19.0,144.0,56.5,57.0,539.0
2002,13.5,89.0,42.5,50.3,56.5,4.0,34.5,105.5,27.0,91.0,113.0,61.5,688.3
2001,126.0,117.0,143.0,118.0,34.5,11.5,15.0,42.0,153.5,174.0,126.8,20.5,1081.8
2000,46.2,166.2,111.0,20.0,115.2,14.8,9.4,66.6,43.6,131.8,19.8,1.4,746.0
1999,153.8,92.2,142.0,77.0,21.6,11.8,18.0,9.6,69.6,51.2,146.2,117.2,910.2
1998,214.4,254.4,20.4,101.0,31.0,9.8,2.4,22.6,47.2,5.8,116.2,63.0,888.2
